X,Y,Name,description
-110.5,32.25,Saguaro,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-104"">List of national parks of the United States</a>"
-118.68,36.43,Sequoia,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-105"">List of national parks of the United States</a>"
-78.35,38.53,Shenandoah,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-sekc_81-1"">List of national parks of the United States</a>"
-103.45,46.97,Theodore Roosevelt,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-107"">List of national parks of the United States</a>"
-64.73,18.33,Virgin Islands,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-108"">List of national parks of the United States</a>"
-92.88,48.5,Voyageurs,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-109"">List of national parks of the United States</a>"
-106.17,32.78,White Sands,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-110"">List of national parks of the United States</a>"
-103.48,43.57,Wind Cave,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-112"">List of national parks of the United States</a>"
-142,61,Wrangell – St. Elias,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-114"">List of national parks of the United States</a>"
-110.5,44.6,Yellowstone,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-wsegb_54-1"">List of national parks of the United States</a>"
-119.5,37.83,Yosemite,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-118"">List of national parks of the United States</a>"
-113.05,37.3,Zion,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-120"">List of national parks of the United States</a>"
